,rolling_1yr_return,rolling_1yr_volatility,rolling_30d_volatility
VOO,0.038867513788718444,0.10270652068235298,0.15437360600272723
QQQ,0.036693470839294084,0.13763261588879727,0.1906462813480234
VTI,0.04115831248033541,0.10605395391827618,0.15842661440321912
VXUS,0.12617153140429416,0.12269364987533156,0.22287924462887182
VGT,0.03811404883361669,0.17635219402330388,0.2331881589781083
ARKK,-0.1071754559032626,0.3046757447149647,0.3644645694540766
VNQ,0.012815816970436877,0.11056964842730539,0.13948102044773814
VWO,0.08502417784669847,0.13007273410505868,0.21399482513637436
AAPL,0.20020000980370067,0.19295048238309945,0.16308903953018422
NVDA,0.02259063049677068,0.285308231172446,0.3024607057669206
BND,0.03627035088624142,0.030519432595954018,0.04767171925501636
SGOV,0.027195926912151114,0.0019698780589392437,0.00212605491797192
TLT,0.03813044988783898,0.08080930961269468,0.10916045875254661
TIPS,-0.9711538448622561,4.3060445418320885,3.0316780805897183
